2026-06-24 12:20:50 | services.operations.extract_text_adapter | ERROR | extract_text failed (mapped=OCRProcessingError original=RuntimeError): tesseract: failed to initialize OCR
2026-06-24 12:20:50 | core.telemetry | INFO | operation=operation=extract_text elapsed=0.001s
2026-06-24 12:20:50 | services.operations.word_to_pdf_adapter | INFO | Starting Word -> PDF conversion
2026-06-24 12:20:50 | services.operations.word_to_pdf_adapter | ERROR | Word -> PDF conversion failed (mapped=ConversionError original=RuntimeError): soffice failed with exit status 1
2026-06-24 12:20:50 | core.telemetry | INFO | operation=operation=word_to_pdf elapsed=0.031s
2026-06-24 12:21:57 | services.operations.pdf_to_word_adapter | INFO | Starting PDF -> Word conversion
2026-06-24 12:22:13 | services.operations.pdf_to_word_adapter | INFO | Completed PDF -> Word conversion (out_bytes=11899194)
2026-06-24 12:22:13 | core.telemetry | INFO | operation=operation=pdf_to_word elapsed=15.889s
2026-06-24 12:22:13 | services.operations.word_to_pdf_adapter | INFO | Starting Word -> PDF conversion
2026-06-24 12:22:14 | services.operations.word_to_pdf_adapter | INFO | Completed Word -> PDF conversion (out_bytes=53)
2026-06-24 12:22:14 | core.telemetry | INFO | operation=operation=word_to_pdf elapsed=0.416s
2026-06-24 12:22:14 | services.operations.compress_pdf_adapter | INFO | Starting compress_pdf
2026-06-24 12:22:22 | services.operations.compress_pdf_adapter | INFO | Completed compress_pdf (out_bytes=174531)
2026-06-24 12:22:22 | core.telemetry | INFO | operation=operation=compress_pdf elapsed=8.034s
2026-06-24 12:22:22 | services.operations.merge_pdf_adapter | INFO | Starting merge_pdfs (count=2)
2026-06-24 12:22:23 | services.operations.merge_pdf_adapter | INFO | Completed merge_pdfs (out_bytes=3190350)
2026-06-24 12:22:23 | core.telemetry | INFO | operation=operation=merge_pdfs elapsed=0.538s
2026-06-24 12:22:23 | services.operations.split_pdf_adapter | INFO | Starting split_pdf (start=1,end=1)
2026-06-24 12:22:24 | services.operations.split_pdf_adapter | INFO | Completed split_pdf (out_bytes=1595328)
2026-06-24 12:22:24 | core.telemetry | INFO | operation=operation=split_pdf elapsed=0.314s
2026-06-24 12:22:24 | services.operations.extract_text_adapter | INFO | Starting extract_text
2026-06-24 12:22:24 | services.operations.extract_text_adapter | INFO | Completed extract_text (chars=1)
2026-06-24 12:22:24 | core.telemetry | INFO | operation=operation=extract_text elapsed=0.224s
2026-06-24 12:23:21 | test_logger_core | INFO | hello core foundation
2026-06-24 12:23:22 | core.telemetry | INFO | operation=unit-test-op elapsed=0.000s
2026-06-24 12:23:25 | services.operations.pdf_to_word_adapter | INFO | Starting PDF -> Word conversion
2026-06-24 12:23:59 | services.operations.pdf_to_word_adapter | INFO | Completed PDF -> Word conversion (out_bytes=11899194)
2026-06-24 12:23:59 | core.telemetry | INFO | operation=operation=pdf_to_word elapsed=33.528s
2026-06-24 12:24:00 | services.operations.word_to_pdf_adapter | INFO | Starting Word -> PDF conversion
2026-06-24 12:24:00 | services.operations.word_to_pdf_adapter | INFO | Completed Word -> PDF conversion (out_bytes=53)
2026-06-24 12:24:00 | core.telemetry | INFO | operation=operation=word_to_pdf elapsed=0.109s
2026-06-24 12:24:00 | services.operations.merge_pdf_adapter | INFO | Starting merge_pdfs (count=2)
2026-06-24 12:24:00 | services.operations.merge_pdf_adapter | INFO | Completed merge_pdfs (out_bytes=3190350)
2026-06-24 12:24:00 | core.telemetry | INFO | operation=operation=merge_pdfs elapsed=0.264s
2026-06-24 12:24:00 | services.operations.split_pdf_adapter | INFO | Starting split_pdf (start=1,end=1)
2026-06-24 12:24:00 | services.operations.split_pdf_adapter | INFO | Completed split_pdf (out_bytes=1595328)
2026-06-24 12:24:00 | core.telemetry | INFO | operation=operation=split_pdf elapsed=0.093s
2026-06-24 12:24:00 | services.operations.compress_pdf_adapter | INFO | Starting compress_pdf
2026-06-24 12:24:01 | services.operations.compress_pdf_adapter | INFO | Completed compress_pdf (out_bytes=174531)
2026-06-24 12:24:01 | core.telemetry | INFO | operation=operation=compress_pdf elapsed=1.080s
2026-06-24 12:24:01 | services.operations.extract_text_adapter | INFO | Starting extract_text
2026-06-24 12:24:02 | services.operations.extract_text_adapter | INFO | Completed extract_text (chars=1)
2026-06-24 12:24:02 | core.telemetry | INFO | operation=operation=extract_text elapsed=0.084s
2026-06-24 12:24:02 | services.operations.pdf_to_word_adapter | INFO | Starting PDF -> Word conversion
